商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-399811561111363,已发货，待收货,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,2025-05-26 09:36:22,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【定制礼袋+三年质保】",1599020975754	,	,无售后或售后取消,78508027309286	,中通快递,2025-05-25 23:50:58,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-239798873720544,待付款,128.0	,0.0	,0.0	,0.0	,0.0	,128.0	,128.0	,1	,	,	,652250629853	,【蓝哆啦联名】蓝牙音响+多彩投影+生日快乐,1715393462776	,	,无售后或售后取消,	,	,	,	,,	,
极地物种落日创意氛围灯蓝牙音响实用精致送女生生日礼物浪漫,250525-121550999842020,已发货，待收货,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,2025-05-26 09:36:28,	,565646157657	,"【落日冰川】精美礼盒+可代写贺卡+生日礼袋,【浪漫礼物】蓝牙音响+呼吸灯+扩香石+精油",1679170937495	,贺卡：我的女孩： 生日快乐 “祝我们发财，被爱， 一路好运常在， 我们都要越来越好， 日子要好好过， 下次见面了， 我要听你说快乐的事。 早日康复 我一直在！”,无售后或售后取消,78508026966798	,中通快递,2025-05-25 22:45:00,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-117807521352146,已发货，待收货,59.0	,0.0	,0.0	,2.95	,0.0	,56.05	,59.0	,1	,2025-05-26 09:36:26,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-生日礼袋】+【代写贺卡+三年质保】",1596850264137	,	,无售后或售后取消,78508027318314	,中通快递,2025-05-26 00:24:19,否,,	,
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-328896397711921,已发货，待收货,118.0	,0.0	,0.0	,5.0	,0.0	,113.0	,118.0	,1	,2025-05-26 09:36:27,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【定制礼袋+三年质保】",1599020975754	,贺卡：祝我最爱的宝贝女儿农梦瑶14岁生日快乐,无售后或售后取消,78508026918456	,中通快递,2025-05-25 22:20:03,否,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-453414807884071,未发货，退款成功,54.7	,0.0	,0.0	,2.73	,0.07	,51.97	,54.7	,1	,	,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,退款成功,	,	,2025-05-25 22:16:09,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-667030658660953,未发货，退款成功,59.0	,0.0	,0.0	,5.9	,0.0	,53.1	,59.0	,1	,	,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-落日礼袋】+【代写贺卡+三年质保】",1596850264141	,	,退款成功,	,	,2025-05-25 21:52:33,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-045309007372225,未发货，退款成功,59.0	,0.0	,0.0	,11.8	,0.0	,47.2	,59.0	,1	,	,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-太空礼袋】+【代写贺卡+三年质保】",1596852189511	,	,退款成功,	,	,2025-05-25 21:50:38,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-661410353520394,已发货，待收货,59.0	,0.0	,0.0	,5.9	,0.0	,53.1	,59.0	,1	,2025-05-26 09:36:22,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-太空礼袋】+【代写贺卡+三年质保】",1596852189511	,	,无售后或售后取消,78508027303594	,中通快递,2025-05-25 21:50:32,否,,	,
极地冰川蓝牙音响生日高颜值创意礼物送男生女生多功能氛围灯香薰,250525-049125865833358,已发货，待收货,123.0	,0.0	,5.0	,24.78	,0.0	,93.22	,118.0	,1	,2025-05-26 09:36:21,	,496337616776	,"阿尔卑斯山香薰扩香石音响,【山海礼袋】蓝牙音响+香薰精油",1598317229189	,	,无售后或售后取消,78508027355026	,中通快递,2025-05-25 21:48:39,否,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-152515438922096,已发货，待收货,54.7	,0.0	,0.0	,2.73	,0.0	,51.97	,54.7	,1	,2025-05-26 09:36:24,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,无售后或售后取消,78508027328793	,中通快递,2025-05-25 21:24:42,否,,	,
极地物种落日创意氛围灯蓝牙音响实用精致送女生生日礼物浪漫,250525-158020410922807,已取消,118.0	,0.0	,0.0	,5.9	,0.0	,112.1	,118.0	,1	,	,	,565646157657	,"【落日冰川】精美礼盒+可代写贺卡+落日礼袋,【浪漫礼物】蓝牙音响+呼吸灯+扩香石+精油",1679170937494	,	,无售后或售后取消,	,	,	,	,,	,
极地物种落日创意氛围灯蓝牙音响实用精致送女生生日礼物浪漫,250525-128911951402807,已取消,118.0	,0.0	,0.0	,5.9	,0.0	,112.1	,118.0	,1	,	,	,565646157657	,"【落日冰川】精美礼盒+可代写贺卡+落日礼袋,【浪漫礼物】蓝牙音响+呼吸灯+扩香石+精油",1679170937494	,	,无售后或售后取消,	,	,	,	,,	,
北极冰洋听海蓝牙音响投影氛围灯高级感节日多功能创意生日礼物,250525-358728363670410,已发货，待收货,95.0	,0.0	,0.0	,8.35	,0.0	,86.65	,95.0	,1	,2025-05-26 09:36:30,	,608719340312	,"【听海蓝】落日礼袋,代写贺卡+三年质保",1696690433655	,	,无售后或售后取消,78508027270438	,中通快递,2025-05-25 20:04:37,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-241067640442387,已发货，待收货,59.0	,0.0	,0.0	,2.95	,0.0	,56.05	,59.0	,1	,2025-05-26 09:36:27,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-太空礼袋】+【代写贺卡+三年质保】",1596852189511	,	,无售后或售后取消,78508027342594	,中通快递,2025-05-25 19:51:08,否,,	,
equra全自动搅拌杯316不锈钢办公室磁力可充电便携式懒人电动水杯,250525-132298903983891,已发货，待收货,81.0	,0.0	,0.0	,12.15	,0.0	,68.85	,81.0	,1	,2025-05-26 09:36:31,	,646888636831	,"450ml大容量+丝滑享受,【奶白】+强劲搅拌+赠礼袋",1713685867905	,	,无售后或售后取消,78508027290117	,中通快递,2025-05-25 19:35:08,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-432946594163567,已发货，待收货,59.0	,0.0	,0.0	,12.39	,0.0	,46.61	,59.0	,1	,2025-05-26 09:36:30,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【月白-山海礼袋】+【代写贺卡+三年质保】",1596850264139	,	,无售后或售后取消,78508027271289	,中通快递,2025-05-25 19:28:56,否,,	,
EQURA全自动磁力电动搅拌杯咖啡高颜值不锈钢办公室高级充电水杯,250525-261011566110840,已发货，待收货,91.0	,0.0	,0.0	,0.0	,0.0	,91.0	,91.0	,1	,2025-05-26 09:36:26,	,723543603613	,象牙白450ml+一键搅拌+杯刷礼袋,1713719351619	,	,无售后或售后取消,78508027353526	,中通快递,2025-05-25 18:21:46,否,,	,
极地物种哆啦A梦贝壳蓝牙音响灯浪漫箱礼物氛围生日节日创意高级,250525-112763891321614,待付款,125.0	,0.0	,0.0	,0.0	,0.0	,125.0	,125.0	,1	,	,	,698660773745	,"浪漫人间+多功能音响+梦幻投影,【正版授权哆啦A梦】",1693618941656	,	,无售后或售后取消,	,	,	,	,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-455417556602951,已发货，待收货,54.7	,0.0	,0.0	,0.0	,0.0	,54.7	,54.7	,1	,2025-05-26 09:36:30,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,无售后或售后取消,78508027272285	,中通快递,2025-05-25 18:14:36,否,,	,
极地物种哆啦A梦贝壳蓝牙音响灯浪漫箱礼物氛围生日节日创意高级,250525-032401047943898,已发货，待收货,125.0	,0.0	,0.0	,6.25	,0.0	,118.75	,125.0	,1	,2025-05-26 09:36:23,	,698660773745	,"奔赴山海+多功能音响+梦幻投影,【正版授权哆啦A梦】",1693619049222	,	,无售后或售后取消,78508027355232	,中通快递,2025-05-25 17:16:07,否,,	,
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-021999204700083,已发货，待收货,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,2025-05-25 16:57:38,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【生日礼袋+三年质保】",1599020975755	,	,无售后或售后取消,78507908717457	,中通快递,2025-05-25 16:37:27,否,,	,
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-052156219740083,待付款,118.0	,0.0	,0.0	,0.0	,0.0	,118.0	,118.0	,1	,	,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【生日礼袋+三年质保】",1599020975755	,	,无售后或售后取消,	,	,	,	,,	,
equra保温杯大容量316不锈钢食品级便携男女生高档咖啡杯随行车用,250525-198076034621266,已发货，待收货,130.6	,0.0	,6.53	,0.0	,0.0	,124.07	,124.07	,2	,2025-05-25 16:57:38,	,408062523433	,樱粉520ml+双饮口+送吸管,1562179619369	,	,无售后或售后取消,78507908697804	,中通快递,2025-05-25 16:28:11,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-487105502750616,已发货，待收货,99.0	,0.0	,0.0	,0.0	,0.0	,99.0	,99.0	,1	,2025-05-25 16:38:45,	,652250629853	,【蓝月】蓝牙音响+多彩投影+生日快乐,1715392261228	,	,无售后或售后取消,78507912746596	,中通快递,2025-05-25 14:45:52,否,,	,
贝壳送女朋友生日礼物男自动香薰机小型精油加湿器小众创意氛围灯,250525-550418594131778,未发货，退款成功,99.0	,0.0	,10.0	,4.58	,0.0	,84.42	,89.0	,1	,	,	,742966195638	,"珍珠白【礼盒礼袋+可写贺卡】,香薰+加湿+氛围灯+摆件",1733206616758	,	,退款成功,	,	,2025-05-25 14:11:34,否,,	,
天气预报瓶风暴瓶生日礼物精致礼品礼盒送男女生创意摆件高档礼品,250525-459527964193163,已发货，待收货,54.7	,0.0	,0.0	,0.0	,0.0	,54.7	,54.7	,1	,2025-05-25 16:38:46,	,474708832086	,风暴瓶+底座+定制精美礼盒+代写贺卡,1378390689206	,	,无售后或售后取消,78507912603526	,中通快递,2025-05-25 13:36:05,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-669306099230616,未发货，退款成功,99.0	,0.0	,0.0	,0.0	,0.0	,99.0	,99.0	,1	,	,	,652250629853	,【蓝月】蓝牙音响+多彩投影+生日快乐,1715392261228	,	,退款成功,	,	,2025-05-25 13:20:25,否,,	,
时空之旅复古蓝牙音箱香薰多功能高音质生日礼物送男生高级感,250525-309644542351434,已发货，待收货,59.0	,0.0	,0.0	,0.0	,0.0	,59.0	,59.0	,1	,2025-05-25 16:11:07,	,613029734782	,"【蓝牙+AUX+可插卡】三种模式+香氛扩香,【曜黑-太空礼袋】+【代写贺卡+三年质保】",1596852189510	,	,无售后或售后取消,78507889432980	,中通快递,2025-05-25 12:57:59,否,,	,
equra全自动搅拌杯316不锈钢办公室磁力可充电便携式懒人电动水杯,250525-171337336373618,已发货，待收货,81.0	,0.0	,0.0	,12.15	,0.0	,68.85	,81.0	,1	,2025-05-25 16:11:07,	,646888636831	,"450ml大容量+丝滑享受,【奶白】+强劲搅拌+赠礼袋",1713685867905	,	,无售后或售后取消,78507889420146	,中通快递,2025-05-25 12:56:22,否,,	,
北极冰洋听海蓝牙音响投影氛围灯高级感节日多功能创意生日礼物,250525-276708790620896,已发货，待收货,95.0	,0.0	,0.0	,4.75	,0.0	,90.25	,95.0	,1	,2025-05-25 16:11:06,	,608719340312	,"【听海蓝】生日礼袋,代写贺卡+三年质保",1696690433656	,贺卡： 杜闺，生日快乐啊！希望你天天开心，坚持做自己！不要因为别人的评价焦虑难受，因为你是一个很好的女孩，总是为他人着想，可能有时你也会迷茫，有时会怀疑自己的交友是否正确，但无论如何我都希望你能够任何事情都先考虑自己，再考虑其他人，让自己过的开心！这才是最重要的！ --爱你的轩酱,无售后或售后取消,78507889416775	,中通快递,2025-05-25 12:46:52,否,,	,
equra保温杯大容量便携高档运动户外喝水杯316不锈钢男女生高颜值,250525-376176720232065,已发货，待收货,67.9	,0.0	,0.0	,0.0	,0.0	,67.9	,67.9	,1	,2025-05-25 16:11:08,	,418285658903	,优雅白【450ML容量+代写贺卡+送杯刷】,1600174878987	,刻字：supernatural ,无售后或售后取消,78507889424465	,中通快递,2025-05-25 12:27:24,否,,	,
equra保温杯大容量便携高档运动户外喝水杯316不锈钢男女生高颜值,250525-557150389813032,已发货，待收货,68.9	,0.0	,0.0	,0.0	,0.0	,68.9	,68.9	,1	,2025-05-25 16:11:05,	,418285658903	,香槟金【650ML容量+代写贺卡+送杯刷】,1600174878984	,	,无售后或售后取消,78507889420460	,中通快递,2025-05-25 11:00:29,否,,	,
极地物种月球灯蓝牙音响氛围感高级小众冷门生日送男女生节日礼物,250525-432401292910747,未发货，退款成功,69.0	,0.0	,0.0	,0.0	,0.0	,69.0	,69.0	,1	,	,	,689536710184	,【幻夜】三种模式+持久续航+精美包装,1680973117692	,	,退款成功,	,	,2025-05-25 10:14:24,否,,	,
北极冰洋听海蓝牙音响投影氛围灯高级感节日多功能创意生日礼物,250525-670438603172181,已发货，待收货,95.0	,0.0	,0.0	,14.25	,0.0	,80.75	,95.0	,1	,2025-05-25 16:11:05,	,608719340312	,"【听海蓝】生日礼袋,代写贺卡+三年质保",1696690433656	,	,无售后或售后取消,78507889412826	,中通快递,2025-05-25 10:00:25,否,,	,
北极冰洋听海蓝牙音响投影氛围灯高级感节日多功能创意生日礼物,250525-544714320261511,已发货，待收货,95.0	,0.0	,0.0	,14.25	,0.0	,80.75	,95.0	,1	,2025-05-25 16:11:08,	,608719340312	,"【听海蓝】山海礼袋,代写贺卡+三年质保",1696690433654	,	,无售后或售后取消,78507889424560	,中通快递,2025-05-25 09:58:34,否,,	,
贝壳送女朋友生日礼物男自动香薰机小型精油加湿器小众创意氛围灯,250525-101711921550719,已发货，待收货,99.0	,0.0	,10.0	,26.7	,0.0	,62.3	,89.0	,1	,2025-05-25 16:11:10,	,742966195638	,"珍珠白【礼盒礼袋+可写贺卡】,香薰+加湿+氛围灯+摆件",1733206616758	,贺卡：我的慧宝~生日快乐哦！ “祝我们爬不同的山，还能回到同一条路上，无需时时见面，但却时时惦记。” “你在，胜过千万个泛泛之交。”,无售后或售后取消,78507889437131	,中通快递,2025-05-25 09:50:54,否,,	,
北极冰洋听海蓝牙音响投影氛围灯高级感节日多功能创意生日礼物,250525-033732739451063,已发货，待收货,95.0	,0.0	,0.0	,7.0	,0.0	,88.0	,95.0	,1	,2025-05-25 10:19:30,	,608719340312	,"【听海蓝】山海礼袋,代写贺卡+三年质保",1696690433654	,	,无售后或售后取消,78507829070066	,中通快递,2025-05-25 09:35:24,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-231965990472673,未发货，退款成功,99.0	,0.0	,0.0	,1.0	,0.0	,98.0	,99.0	,1	,	,	,652250629853	,【蓝月】蓝牙音响+多彩投影+浪漫人间,1715392261231	,	,退款成功,	,	,2025-05-25 09:23:04,否,,	,
极地物种哆啦A梦贝壳蓝牙音响灯浪漫箱礼物氛围生日节日创意高级,250525-526636817951118,未发货，退款成功,125.0	,0.0	,0.0	,6.25	,0.0	,118.75	,125.0	,1	,	,	,698660773745	,"奔赴山海+多功能音响+梦幻投影,【正版授权哆啦A梦】",1693619049222	,	,退款成功,	,	,2025-05-25 09:14:18,否,,	,
贝壳送女朋友生日礼物男自动香薰机小型精油加湿器小众创意氛围灯,250525-396173054312192,未发货，退款成功,99.0	,0.0	,0.0	,29.7	,0.0	,69.3	,99.0	,1	,	,	,742966195638	,"珍珠白【礼盒礼袋+可写贺卡】,香薰+加湿+氛围灯+摆件",1733206616758	,	,退款成功,	,	,2025-05-25 07:42:20,否,,	,
极地物种哆啦A梦贝壳蓝牙音响灯浪漫箱礼物氛围生日节日创意高级,250525-616290066001450,已发货，待收货,625.0	,0.0	,31.25	,59.37	,0.0	,534.38	,593.75	,5	,2025-05-25 10:19:18,	,698660773745	,"奔赴山海+多功能音响+梦幻投影,【正版授权哆啦A梦】",1693619049222	,	,无售后或售后取消,78507829083008	,中通快递,2025-05-25 03:34:11,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-521960189521450,未发货，退款成功,640.0	,0.0	,32.0	,60.8	,0.0	,547.2	,608.0	,5	,	,	,652250629853	,【蓝哆啦联名】蓝牙音响+多彩投影+奔赴山海,1715393462775	,	,退款成功,	,	,2025-05-25 03:26:41,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-563683008154093,已取消,99.0	,0.0	,0.0	,9.9	,0.0	,89.1	,99.0	,1	,	,	,652250629853	,【荧白】蓝牙音响+多彩投影+奔赴山海,1715392261226	,	,无售后或售后取消,	,	,	,	,,	,
贝壳送女朋友生日礼物男自动香薰机小型精油加湿器小众创意氛围灯,250525-318798579283171,已取消,99.0	,0.0	,0.0	,3.0	,0.0	,96.0	,99.0	,1	,	,	,742966195638	,"珍珠白【礼盒礼袋+可写贺卡】,香薰+加湿+氛围灯+摆件",1733206616758	,	,无售后或售后取消,	,	,	,	,,	,
北极冰洋听海蓝牙音响投影氛围灯高级感节日多功能创意生日礼物,250525-414879660451441,已发货，待收货,95.0	,0.0	,0.0	,0.0	,0.0	,95.0	,95.0	,1	,2025-05-25 10:19:18,	,608719340312	,"【听海蓝】山海礼袋,代写贺卡+三年质保",1696690433654	,	,无售后或售后取消,78507829037626	,中通快递,2025-05-25 01:03:36,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-547493036390488,已发货，待收货,99.0	,0.0	,0.0	,18.81	,0.07	,80.19	,99.0	,1	,2025-05-25 10:19:20,	,652250629853	,【蓝月】蓝牙音响+多彩投影+奔赴山海,1715392261225	,	,无售后或售后取消,78507829026467	,中通快递,2025-05-25 00:39:40,否,,	,
极地冰川香薰摆件持久冰山蓝牙音响氛围灯桌面房间高级感生日礼物,250525-435463134771402,已发货，待收货,118.0	,0.0	,0.0	,17.7	,0.0	,100.3	,118.0	,1	,2025-05-25 10:19:23,	,517131984800	,"扩香石+蓝牙音响+氛围灯+精油,【冰川蓝】+【定制礼袋+三年质保】",1599020975754	,	,无售后或售后取消,78507829077336	,中通快递,2025-05-25 00:16:30,否,,	,
极地贝壳蓝牙音响氛围投影高颜值摆件卧室高级男女生节日礼物,250525-627195318640042,已发货，待收货,99.0	,0.0	,0.0	,9.9	,0.0	,89.1	,99.0	,1	,2025-05-25 10:19:24,	,652250629853	,【蓝月】蓝牙音响+多彩投影+奔赴山海,1715392261225	,	,无售后或售后取消,78507829022089	,中通快递,2025-05-25 00:11:51,否,,	,